date,time,code,open,high,low,close,volume,amount,adjustflag
2017-07-21,20170721131500000,sh.601398,5.3000,5.3100,5.3000,5.3100,4311200,22887692.0000,3
2017-07-21,20170721132000000,sh.601398,5.3100,5.3200,5.3000,5.3200,1123800,5972325.0000,3
2017-07-21,20170721132500000,sh.601398,5.3100,5.3300,5.3100,5.3200,5553800,29542776.0000,3
2017-07-21,20170721133000000,sh.601398,5.3300,5.3500,5.3200,5.3500,13686400,73005304.0000,3
2017-07-21,20170721133500000,sh.601398,5.3500,5.3500,5.3300,5.3400,6406200,34189008.0000,3
2017-07-21,20170721134000000,sh.601398,5.3300,5.3400,5.3200,5.3200,4333300,23092928.0000,3
2017-07-21,20170721134500000,sh.601398,5.3100,5.3200,5.3100,5.3200,2242400,11916990.0000,3
2017-07-21,20170721135000000,sh.601398,5.3200,5.3300,5.3100,5.3300,2066400,10993253.0000,3
2017-07-21,20170721135500000,sh.601398,5.3300,5.3300,5.3200,5.3300,1646100,8772740.0000,3
2017-07-21,20170721140000000,sh.601398,5.3200,5.3400,5.3200,5.3300,1686800,8989199.0000,3
2017-07-21,20170721140500000,sh.601398,5.3400,5.3400,5.3200,5.3300,2285300,12181420.0000,3
2017-07-21,20170721141000000,sh.601398,5.3300,5.3400,5.3200,5.3400,2255300,12031660.0000,3
2017-07-21,20170721141500000,sh.601398,5.3400,5.3400,5.3300,5.3400,2552500,13628150.0000,3
2017-07-21,20170721142000000,sh.601398,5.3400,5.3500,5.3300,5.3500,4905500,26204220.0000,3
2017-07-21,20170721142500000,sh.601398,5.3400,5.3600,5.3300,5.3600,11274600,60316000.0000,3
2017-07-21,20170721143000000,sh.601398,5.3600,5.3600,5.3300,5.3400,3870900,20714436.0000,3
2017-07-21,20170721143500000,sh.601398,5.3300,5.3500,5.3300,5.3300,999900,5337651.0000,3
2017-07-21,20170721144000000,sh.601398,5.3400,5.3400,5.3300,5.3300,576800,3077568.0000,3
2017-07-21,20170721144500000,sh.601398,5.3400,5.3400,5.3300,5.3300,2099600,11200369.0000,3
2017-07-21,20170721145000000,sh.601398,5.3400,5.3400,5.3200,5.3400,2451100,13068638.0000,3
2017-07-21,20170721145500000,sh.601398,5.3400,5.3400,5.3300,5.3300,3038600,16206077.0000,3
2017-07-21,20170721150000000,sh.601398,5.3400,5.3400,5.3200,5.3300,3134500,16714850.0000,3
2017-07-24,20170724093500000,sh.601398,5.3200,5.3400,5.3200,5.3300,2376600,12670732.0000,3
2017-07-24,20170724094000000,sh.601398,5.3300,5.3400,5.3200,5.3400,2144000,11432072.0000,3
